SLNO,ZONE,WARD,HOSPITAL NAME,ADDRESS,ADDRESS,Status geocode,Formatted address,Latitude,Longitude,Type,Location Type,Postal code,City,Country,Region
1,01-Thiruvottyur,001,SUMITHIRA CLINIC,K.H. ROAD KATHIVAKKAM THALANKUPPAM 600057,K.H. ROAD KATHIVAKKAM THALANKUPPAM 600057,"Ok, partial match","Kathivakkam, Ennore, Chennai, Tamil Nadu 600057, India",13.2161325,80.318177,"political, sublocality, sublocality_level_2",APPROXIMATE,600057,Ennore,India,Tamil Nadu
2,01-Thiruvottyur,001,URBAN HEALTHPOST,"KAMARAJ NAGAR KATHIVAKKAM KAMARAJ NAGAR
600057","KAMARAJ NAGAR KATHIVAKKAM KAMARAJ NAGAR
600057","Ok, partial match","Kathivakkam, Ennore, Chennai, Tamil Nadu 600057, India",13.2161325,80.318177,"political, sublocality, sublocality_level_2",APPROXIMATE,600057,Ennore,India,Tamil Nadu
3,01-Thiruvottyur,001,SRI VEGNESH CLINIC,"C-15,THLANKUPPAM MAIN ROAD KATHIVAKKAM
ULAGANATHAPURAM 600057","C-15,THLANKUPPAM MAIN ROAD KATHIVAKKAM
ULAGANATHAPURAM 600057","4 found, use single geocode.","Kathivakkam, Ennore, Chennai, Tamil Nadu 600057, India",13.2161325,80.318177,"political, sublocality, sublocality_level_2",APPROXIMATE,600057,Ennore,India,Tamil Nadu
4,01-Thiruvottyur,001,S.S. CLINIC,"6,6TH STREET KATHIVAKKAM ULAGANATHAPURAM
600057","6,6TH STREET KATHIVAKKAM ULAGANATHAPURAM
600057","Ok, partial match","Kathivakkam, Ennore, Chennai, Tamil Nadu 600057, India",13.2161325,80.318177,"political, sublocality, sublocality_level_2",APPROXIMATE,600057,Ennore,India,Tamil Nadu
5,01-Thiruvottyur,001,JAI CLINIC,"3,7TH STREET ULAGANATHAPURAM
THALANKUPPAM 600057","3,7TH STREET ULAGANATHAPURAM
THALANKUPPAM 600057","2 found, use single geocode.","Ulaganathapuram, Talanguppam, Chennai, Tamil Nadu 600057, India",13.22664,80.324515,"establishment, point_of_interest, transit_station",GEOMETRIC_CENTER,600057,Chennai,India,Tamil Nadu
6,01-Thiruvottyur,001,JAI ASHWIN CLINIC,"4, SATHYAVANI MUTHU NAGAR 7TH STREET,
ENNORE, CHENNAI 600057","4, SATHYAVANI MUTHU NAGAR 7TH STREET,
ENNORE, CHENNAI 600057","2 found, use single geocode.","7th St, Satyavanimuthu, Chennai, Tamil Nadu 600057, India",13.2222723,80.3240532,route,GEOMETRIC_CENTER,600057,Chennai,India,Tamil Nadu
7,01-Thiruvottyur,001,SRI VEGNESH CLINIC,"C-15,THALANKUPPAM MAIN ROAD KATHIVAKKAM
ULAGANATHAPURAM 600057","C-15,THALANKUPPAM MAIN ROAD KATHIVAKKAM
ULAGANATHAPURAM 600057","5 found, use single geocode.","Kathivakkam, Ennore, Chennai, Tamil Nadu 600057, India",13.2161325,80.318177,"political, sublocality, sublocality_level_2",APPROXIMATE,600057,Ennore,India,Tamil Nadu
8,01-Thiruvottyur,002,RAJA CLINIC,"GIRIYAPPATHOTTAM KATHIVAKKAM SIVANPADAI
VEEDHI 600057","GIRIYAPPATHOTTAM KATHIVAKKAM SIVANPADAI
VEEDHI 600057","Ok, partial match","Sivan Padai St, Kathivakkam, Ennore, Chennai, Tamil Nadu 600057, India",13.2155676,80.3193061,route,GEOMETRIC_CENTER,600057,Ennore,India,Tamil Nadu
9,01-Thiruvottyur,002,SRI VENUGOPAL CLINIC,R.S. ROAD KATHIVAKKAM VALLUVAR NAGAR 600057,R.S. ROAD KATHIVAKKAM VALLUVAR NAGAR 600057,"3 found, use single geocode.","Kathivakkam, Ennore, Chennai, Tamil Nadu 600057, India",13.2161325,80.318177,"political, sublocality, sublocality_level_2",APPROXIMATE,600057,Ennore,India,Tamil Nadu
10,01-Thiruvottyur,002,SRI VENKATESWARA CLINIC,"K.H. ROAD KATHIVAKKAM SANJAIGANDHI NAGAR
600057","K.H. ROAD KATHIVAKKAM SANJAIGANDHI NAGAR
600057","Ok, partial match","Kathivakkam, Ennore, Chennai, Tamil Nadu 600057, India",13.2161325,80.318177,"political, sublocality, sublocality_level_2",APPROXIMATE,600057,Ennore,India,Tamil Nadu
11,01-Thiruvottyur,002,THANGAMMAL CLINIC,K.H. ROAD KATHIVAKKAM KATTUKUPPAM 600057,K.H. ROAD KATHIVAKKAM KATTUKUPPAM 600057,"Ok, partial match","Kattukuppam Main Rd, Chennai, Tamil Nadu 600057, India",13.2196273,80.3191997,route,GEOMETRIC_CENTER,600057,Chennai,India,Tamil Nadu
12,01-Thiruvottyur,002,MATERNITY CENTRE,"VILLAGE STREET KATHIVAKKAM SIVANPADAI
VEEDHI 600057","VILLAGE STREET KATHIVAKKAM SIVANPADAI
VEEDHI 600057","2 found, use single geocode.","Sivan Padai St, Kathivakkam, Ennore, Chennai, Tamil Nadu 600057, India",13.2155676,80.3193061,route,GEOMETRIC_CENTER,600057,Ennore,India,Tamil Nadu
13,01-Thiruvottyur,002,VIJAYA CLINIC,"THLANKUPPAM KATHIVAKKAM THALANKUPPAM
600057","THLANKUPPAM KATHIVAKKAM THALANKUPPAM
600057","2 found, use single geocode.","Kathivakkam, Ennore, Chennai, Tamil Nadu 600057, India",13.2161325,80.318177,"political, sublocality, sublocality_level_2",APPROXIMATE,600057,Ennore,India,Tamil Nadu
14,01-Thiruvottyur,002,IPP-V HOSPITAL,"03/592,K.H. ROAD KATHIVAKKAM K.H.ROAD 600057","03/592,K.H. ROAD KATHIVAKKAM K.H.ROAD 600057","Ok, partial match","Kathivakkam, Ennore, Chennai, Tamil Nadu 600057, India",13.2161325,80.318177,"political, sublocality, sublocality_level_2",APPROXIMATE,600057,Ennore,India,Tamil Nadu
15,01-Thiruvottyur,002,IPP-V HOSPITAL,"KAMARAJ NAGAR 5TH STREET KATHIVAKKAM
KAMARAJ NAGAR 600057","KAMARAJ NAGAR 5TH STREET KATHIVAKKAM
KAMARAJ NAGAR 600057","2 found, use single geocode.","5th St, Kamaraj Nagar, Chennai, Tamil Nadu 600057, India",13.2214961,80.3219074,route,GEOMETRIC_CENTER,600057,Chennai,India,Tamil Nadu
16,01-Thiruvottyur,002,VIJAYA CLINIC,"GANDHI NAGAR KATHIVAKKAM GANDHI NAGAR
600057","GANDHI NAGAR KATHIVAKKAM GANDHI NAGAR
600057",Ok,"Sanjai Gandhi Nagar Rd, Chennai, Tamil Nadu 600057, India",13.2205804,80.3207241,route,GEOMETRIC_CENTER,600057,Chennai,India,Tamil Nadu
17,01-Thiruvottyur,004,SELVA CLINIC & MATERNITY CENTR,"72,KAMARAJ NAGAR THIRUVOTTIYUR ERNAVOOR
600019","72,KAMARAJ NAGAR THIRUVOTTIYUR ERNAVOOR
600019","Ok, partial match","8c, 57, Bajanai Koil St, Kamaraj Nagar, Ennore, Chennai, Tamil Nadu 600057, India",13.1889825,80.3071497,"establishment, point_of_interest, primary_school, school",ROOFTOP,600057,Ennore,India,Tamil Nadu
18,01-Thiruvottyur,004,KUPPAM CWC,"RAMANATHAPURAM THIRUVOTTIYUR CHENNAI
600019","RAMANATHAPURAM THIRUVOTTIYUR CHENNAI
600019",Ok,"Ramanathapuram, Tiruvottiyur, Chennai, Tamil Nadu 600057, India",13.1824931,80.3052932,"political, sublocality, sublocality_level_2",APPROXIMATE,600057,Chennai,India,Tamil Nadu
19,01-Thiruvottyur,004,SELVA CLINIC,"202,KAMARAJ NAGAR 3rd St THIRUVOTTIYUR
ERNAVOOR 600019","202,KAMARAJ NAGAR 3rd St THIRUVOTTIYUR
ERNAVOOR 600019","2 found, use single geocode.","Ernavur, Ennore, Chennai, Tamil Nadu 600057, India",13.1895685,80.3039002,"political, sublocality, sublocality_level_2",APPROXIMATE,600057,Ennore,India,Tamil Nadu
20,01-Thiruvottyur,005,RAMANATHAPURAM MATERNITY CENTR,"1,ERNAVOOR THIRUVOTTIYUR WIMCO 600057","1,ERNAVOOR THIRUVOTTIYUR WIMCO 600057","Ok, partial match","Ernavur, Ennore, Chennai, Tamil Nadu 600057, India",13.1895685,80.3039002,"political, sublocality, sublocality_level_2",APPROXIMATE,600057,Ennore,India,Tamil Nadu
21,01-Thiruvottyur,005,RAMANATHAPURAM MATERNITY CENTE,"1,THIRUVOTTIYUR THIRUVOTTIYUR WIMCO 600019","1,THIRUVOTTIYUR THIRUVOTTIYUR WIMCO 600019","Ok, partial match","58J4+JW5, 1st St Rd, Poompuhar Nagar, Tiruvottiyur, Chennai, Tamil Nadu 600057, India",13.1815184,80.3073471,"beauty_salon, establishment, point_of_interest",GEOMETRIC_CENTER,600057,Chennai,India,Tamil Nadu
22,01-Thiruvottyur,005,S.S.HOSPITAL & SCAN CENTRE,"11,JEEVANLAL NAGAR THIRUVOTTIYUR AJAX 600019","11,JEEVANLAL NAGAR THIRUVOTTIYUR AJAX 600019","2 found, use single geocode.","11 & 2A, Jeevan Lal Nagar, Tiruvottiyur, Chennai, Tamil Nadu 600019, India",13.174523,80.3055456,street_address,ROOFTOP,600019,Chennai,India,Tamil Nadu
